1276	Let's try something.	77	Lass uns etwas versuchen!
1276	Let's try something.	392932	Lasst uns etwas ausprobieren!
1276	Let's try something.	1674110	Lass uns mal was ausprobieren.
1280	Today is June 18th and it is Muiriel's birthday!	81	Heute ist der 18. Juni und das ist der Geburtstag von Muiriel!
1280	Today is June 18th and it is Muiriel's birthday!	1674125	Heute ist der achtzehnte Juni — und Muiriels Geburtstag!
1282	Muiriel is 20 now.	83	Muiriel ist jetzt 20.
1283	The password is "Muiriel".	84	Das Passwort ist "Muiriel".
1283	The password is "Muiriel".	1674119	Das Passwort lautet „Muiriel“.
1283	The password is "Muiriel".	1674122	Das Kennwort lautet „Muiriel“.
1284	I will be back soon.	85	Ich werde bald zurück sein.
1284	I will be back soon.	430555	Bin gleich zurück.
1284	I will be back soon.	902980	Ich bin bald wieder da.
1284	I will be back soon.	1674117	Ich bin bald zurück.
1284	I will be back soon.	2975932	Ich komme bald wieder.
1286	I'm at a loss for words.	87	Ich finde keine Worte.
1286	I'm at a loss for words.	342018	Mir fehlen die Worte.
1287	This is never going to end.	88	Das wird nie enden.
1288	I just don't know what to say.	89	Ich weiß einfach nicht, was ich sagen soll.
1289	That was an evil bunny.	90	Das war ein böses Kaninchen.
1289	That was an evil bunny.	1674112	Das war ein böses Häschen.
1290	I was in the mountains.	91	Ich war in den Bergen.
1291	Is it a recent picture?	437921	Ist das ein aktuelles Foto?
1292	I don't know if I have the time.	93	Ich weiß nicht, ob ich Zeit dazu habe.
1292	I don't know if I have the time.	591235	Ich weiß nicht, ob ich Zeit habe.
1294	Education in this world disappoints me.	96	Die Ausbildung in dieser Welt enttäuscht mich.
1295	You're in better shape than I am.	413985	Du bist besser in Form als ich.
1296	You are in my way.	527337	Du bist mir im Weg.
1298	This will cost €30.	100	Das wird 30 € kosten.
1299	I make €100 a day.	101	Ich verdiene 100 Euro pro Tag.
1300	I may give up soon and just nap instead.	102	Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache.
1301	It's because you don't want to be alone.	103	Das liegt daran, dass du nicht allein sein willst.
1301	It's because you don't want to be alone.	1674130	Das ist so, weil du nicht allein sein willst.
1302	That won't happen.	104	Das wird nicht passieren.
1302	That won't happen.	1674127	Dazu kommt es nicht.
1302	That won't happen.	1674128	Das wird sich nicht ereignen.
1302	That won't happen.	1674129	Das wird nicht geschehen.
1303	Sometimes he can be a strange guy.	105	Manchmal kann er ein seltsamer Junge sein.
1304	I'll do my best not to disturb your studying.	106	Ich werde mir Mühe geben, dich nicht beim Lernen zu stören.
1305	I can only wonder if this is the same for everyone else.	107	Ich kann mich nur fragen, ob es für alle anderen dasselbe ist.
1306	I suppose it's different when you think about it over the long term.	108	Ich vermute, das ist anders, wenn du darüber längerfristig nachdenkst.
1308	I miss you.	110	Ich vermisse dich.
1308	I miss you.	385356	Ich vermisse Sie.
1308	I miss you.	385357	Ich vermisse euch.
1308	I miss you.	540957	Du fehlst mir.
1309	I'll call them tomorrow when I come back.	111	Ich werde sie morgen anrufen, wenn ich zurückkomme.
1310	I always liked mysterious characters more.	112	Ich mochte mysteriöse Charaktere schon immer mehr.
1311	You should sleep.	113	Du solltest schlafen.
1311	You should sleep.	1038016	Du sollst schlafen.
1312	I'm going to go.	439366	Ich gehe.
1313	I told them to send me another ticket.	115	Ich sagte ihnen, sie sollen mir ein neues Ticket schicken.
1314	You're so impatient with me.	116	Du bist so ungeduldig mit mir.
1315	I can't live that kind of life.	117	Ich kann so ein Leben nicht leben.
1315	I can't live that kind of life.	2223578	Ich kann kein solches Leben führen.
1316	I once wanted to be an astrophysicist.	118	Ich wollte mal Astrophysiker werden.
1317	I never liked biology.	119	Ich mochte Biologie noch nie.
1318	The last person I told my idea to thought I was nuts.	120	Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt.
1319	If the world weren't in the shape it is now, I could trust anyone.	121	Wenn die Welt nicht so wäre wie sie jetzt ist, könnte ich jedem vertrauen.
1320	It is unfortunately true.	122	Unglücklicherweise stimmt es.
1320	It is unfortunately true.	403928	Unglücklicherweise ist es wahr.
1321	They are too busy fighting against each other to care for common ideals.	123	Sie sind zu sehr damit beschäftigt, sich gegenseitig zu bekämpfen, als dass sie sich gemeinsamen Idealen widmen könnten.
1322	Most people think I'm crazy.	124	Die meisten Leute denken, ich sei verrückt.
1323	No I'm not; you are!	125	Nein, ich bin es nicht, du bist es!
1323	No I'm not; you are!	1168814	Nein, bin ich nicht; sondern du!
1324	That's MY line!	126	Das war mein Satz!
1325	He's kicking me!	127	Er tritt mich!
1326	Are you sure?	128	Bist du sicher?
1326	Are you sure?	1994950	Bist du dir sicher?
1327	Then there is a problem...	129	Dann haben wir ein Problem...
1328	Oh, there's a butterfly!	130	Oh, da ist ein Schmetterling!
1329	Hurry up.	131	Beeil dich!
1329	Hurry up.	355342	Beeil dich.
1329	Hurry up.	1367862	Mach hin!
1330	It doesn't surprise me.	132	Es überrascht mich nicht.
1330	It doesn't surprise me.	575321	Das überrascht mich nicht.
1332	For some reason I feel more alive at night.	134	Aus irgendeinem Grund fühle ich mich nachts lebendiger.
1333	It depends on the context.	135	Das kommt auf den Zusammenhang an.
